no,name,team,goalKick,numOfGame,GoalKickPerGame
1,김병지,현대,196,28,7
2,샤샤1,유공,191,28,6.82
3,일리치,대우,147,23,6.39
4,드라간1,포항,122,26,4.69
5,김봉수,LG,109,14,7.79
6,신의손,일화,100,27,3.7
7,유리쉬쉬킨,전남,82,12,6.83
8,박철우,전남,72,10,7.2
9,박종문,전남,67,10,6.7
