no,name,team,goalKick,numOfGame,GoalKickPerGame
1,이문영,유공,307,30,10.23
2,김현태,럭금,160,18,8.89
2,조병득,포철,160,18,8.89
4,정기동,포철,152,16,9.5
5,호성호,현대,151,18,8.39
6,정성교,대우,140,16,8.75
7,차상광,럭금,123,15,8.2
8,김풍주,대우,120,15,8
9,최인영,현대,97,13,7.46
