no,name,team,goalKick,numOfGame,GoalKickPerGame
1,이용발,부천SK,279,32,8.72
2,최은성,대전,259,25,10.36
3,신의손,안양LG,244,24,10.17
4,김대환2,수원,226,27,8.37
5,김병지,울산,221,26,8.5
6,서동명,전북,199,23,8.65
7,정유석,부산,186,20,9.3
8,조준호,포항,182,20,9.1
9,김해운,성남,179,19,9.42
