no,name,team,goalKick,numOfGame,GoalKickPerGame
1,이문영,유공,238,24,9.92
2,정기동,포철,157,18,8.72
3,오연교,현대,145,17,8.53
4,차상광,럭금,144,16,9
5,김동훈,대우,91,11,8.27
6,김현태,럭금,82,8,10.25
7,정성교,대우,75,8,9.38
8,조병득,포철,62,6,10.33
9,김풍주,대우,57,7,8.14
