no,name,team,change,numOfGame,ChangePerGame
1,주앙파울로,광주,39,40,0.98
2,마라냥,울산,33,39,0.85
3,노병준,포항,32,35,0.91
3,고무열,포항,32,39,0.82
3,박성호,포항,32,39,0.82
6,지경득,대전,31,40,0.78
7,하태균,수원,29,31,0.94
7,배일환,제주,29,40,0.73
9,최태욱,서울,28,28,1
