no,name,team,goalKick,numOfGame,GoalKickPerGame
1,이운재,전남,312,30,10.4
2,김병지,경남,283,30,9.43
3,박호진,광주,274,30,9.13
4,정성룡,수원,251,30,8.37
5,김영광1,울산,242,28,8.64
6,하강진,성남,237,27,8.78
7,최은성,대전,229,28,8.18
8,김용대,서울,223,29,7.69
9,신화용,포항,214,24,8.92
