no,name,team,goalKick,numOfGame,GoalKickPerGame
1,조병득,할렐,189,28,6.75
2,오연교,유공,177,28,6.32
3,이춘섭,한일,155,24,6.46
4,최인영,현대,111,22,5.05
5,김현태,럭금,108,23,4.7
6,전운선,국민,91,15,6.07
7,김태형,국민,80,13,6.15
8,김풍주,대우,79,17,4.65
9,정기동,포철,69,15,4.6
