no,name,team,change,numOfGame,ChangePerGame
1,김이주,일화,23,27,0.85
2,최문식,포철,19,24,0.79
3,강재순,현대,18,24,0.75
3,이태홍,일화,18,25,0.72
3,이상윤,일화,18,28,0.64
6,이태호,대우,17,19,0.89
6,김상진,LG,17,20,0.85
8,김성구,현대,16,17,0.94
8,우치체,대우,16,19,0.84
8,오승인,유공,16,23,0.7
