no,date,vs,winScore,score,end,location
77,1994.09.14,울산 현대 vs 포항 스틸러스,0:0,Y,
78,1994.09.24,성남FC vs 포항 스틸러스,2:0,Y,동대문
79,1994.09.24,FC서울 vs 울산 현대,1:4,Y,
80,1994.09.24,전북 버팔로 vs 제주 Utd,1:2,Y,
81,1994.09.28,울산 현대 vs 제주 Utd,0:2,Y,
82,1994.10.08,FC서울 vs 부산 아이파크,1:2,Y,동대문
83,1994.10.15,전북 버팔로 vs 성남FC,2:3,Y,
84,1994.10.19,울산 현대 vs 부산 아이파크,0:1,Y,
85,1994.10.19,포항 스틸러스 vs 제주 Utd,2:4,Y,포항 스틸야드
86,1994.10.22,포항 스틸러스 vs 성남FC,2:2,Y,광양 전용
87,1994.10.22,울산 현대 vs FC서울,2:2,Y,
88,1994.10.22,제주 Utd vs 전북 버팔로,4:1,Y,동대문
89,1994.10.26,성남FC vs 울산 현대,1:2,Y,동대문
90,1994.10.26,전북 버팔로 vs FC서울,0:2,Y,
91,1994.10.26,부산 아이파크 vs 포항 스틸러스,0:2,Y,부산 구덕
92,1994.10.29,전북 버팔로 vs 포항 스틸러스,1:2,Y,
93,1994.10.29,FC서울 vs 제주 Utd,1:2,Y,
94,1994.10.29,성남FC vs 부산 아이파크,2:0,Y,동대문
95,1994.11.02,포항 스틸러스 vs 울산 현대,3:2,Y,포항 스틸야드
96,1994.11.02,제주 Utd vs 성남FC,1:1,Y,동대문
97,1994.11.02,전북 버팔로 vs 부산 아이파크,0:2,Y,
98,1994.11.05,FC서울 vs 포항 스틸러스,3:4,Y,동대문
99,1994.11.05,울산 현대 vs 전북 버팔로,1:0,Y,
100,1994.11.05,부산 아이파크 vs 제주 Utd,0:3,Y,부산 구덕
101,1994.11.09,성남FC vs 제주 Utd,0:2,Y,동대문
102,1994.11.12,제주 Utd vs 울산 현대,2:2,Y,동대문
103,1994.11.12,부산 아이파크 vs FC서울,1:2,Y,부산 구덕
104,1994.11.12,성남FC vs 전북 버팔로,1:0,Y,목동
